articleName,wordCount,NoOfEditors,NoOfRevisions,NoOfEditSessions,startTime,endTime,durationInHours,durationindays,subjectivity,readingScore,authority,totalRefs,NoOfValidUrlRefs,totalUrlRefs,verifiability,vandalisim,volatility,Speed1 (Edit sessions),Speed2 (No of days),Speed4 (No of edits),Speed5 (edits/edit sessions),Speed6 (edits/durationindays),Speed8(Edit sessions/durationindays)
ASR-9,797,13,44,24,2017-04-20T04:12:43Z,2018-08-15T12:34:42Z,11576.36638888890,482.34859953704,0.45829329004329,-0.34,0.006273525721455460,5,3,3,1.0,0,0.0,33.2083333333333,1.65233194574415,18.1136363636364,1.83333333333333,0.0912203332656746,0.0912203332656746
Mehmet Aipov,509,7,26,17,2015-10-28T10:05:15Z,2018-12-12T15:26:11Z,27389.34888888890,1141.22287037037,0.15698924731182800,17.3,0.009823182711198430,5,2,2,1.0,0,0.0,29.9411764705882,0.446012793131994,19.5769230769231,1.52941176470588,0.0227825788240311,0.0227825788240311
Benito Cereno,6155,156,523,232,2006-04-27T08:13:55Z,2019-02-09T00:56:33Z,112096.71055555600,4670.69627314817,0.41172659699788400,31.89,0.00016246953696182000,1,1,1,1.0,12,0.022944550669216100,26.5301724137931,1.317790676175,11.7686424474187,2.25431034482759,0.111974739827705,0.111974739827705
Antandroy,1687,30,70,46,2010-11-29T03:23:15Z,2019-02-21T07:20:52Z,72147.96027777780,3006.16501157408,0.38805762689691300,-42.32,0.008298755186721990,14,9,9,1.0,3,0.04285714285714290,36.6739130434783,0.561180106050352,24.1,1.52173913043478,0.0232854815788528,0.0232854815788528
Anthony Barboza,2175,41,80,53,2011-04-26T16:25:51Z,2019-01-13T14:31:30Z,67654.09416666670,2818.92059027778,0.35890065426997200,-94.96,0.0,0,0,0,1,3,0.0375,41.0377358490566,0.771571929873226,27.1875,1.50943396226415,0.0283796571907393,0.0283796571907393
August Geiger (pilot),2277,23,127,79,2011-02-04T23:42:50Z,2018-10-30T10:39:03Z,67786.93694444450,2824.45570601852,0.19672839506172800,-27.47,0.0,0,0,0,1,0,0.0,28.8227848101266,0.806173024823166,17.9291338582677,1.60759493670886,0.0449644155259297,0.0449644155259297
Mauricio Lasansky,836,14,37,18,2015-07-16T03:02:51Z,2018-11-17T05:02:12Z,29281.989166666700,1220.082881944450,0.3732422944287350,-79.54,0.01076555023923450,9,2,2,1.0,1,0.02702702702702700,46.4444444444444,0.68519935192244,22.5945945945946,2.05555555555556,0.0303258086377156,0.0303258086377156
Agathe Pembellot,1015,24,109,45,2016-09-03T15:19:51Z,2019-02-11T04:47:22Z,21373.45861111110,890.56077546296,0.16746478873239400,-38.94,0.016748768472906400,17,9,12,0.75,0,0.0,22.5555555555556,1.13973131083878,9.31192660550459,2.42222222222222,0.122394791016184,0.122394791016184
Debeaking,2231,142,252,205,2003-03-18T04:53:29Z,2018-08-17T01:49:23Z,135140.93166666700,5630.87215277779,0.45030946293060800,22.01,0.002689376961004030,6,5,6,0.8333333333333330,17,0.06746031746031750,10.8829268292683,0.396208604896031,8.8531746031746,1.22926829268293,0.0447532803378753,0.0447532803378753
Aftermath of the 2011 Libyan Civil War,6800,105,607,314,2011-10-20T14:03:28Z,2019-02-02T14:23:50Z,63888.33944444440,2662.01414351852,0.3138315192288700,-59.44,0.02088235294117650,142,79,141,0.5602836879432620,12,0.019769357495881400,21.656050955414,2.55445675093675,11.2026359143328,1.93312101910828,0.22802283056156,0.22802283056156
Addis Ababa–Djibouti Railway,4158,109,320,214,2015-06-08T01:20:47Z,2019-02-22T08:15:52Z,32526.918055555600,1355.288252314820,0.3990568838826680,-63.92,0.011544011544011500,48,28,48,0.5833333333333330,7,0.021875,19.4299065420561,3.06798202736442,12.99375,1.49532710280374,0.236112132938099,0.236112132938099
1900s in Angola,511,20,31,26,2009-01-04T01:43:21Z,2017-10-18T04:57:37Z,77019.23777777780,3209.13490740741,0.244591416813639,20.76,0.0136986301369863,7,0,0,1,0,0.0,19.6538461538462,0.15923294431172,16.4838709677419,1.19230769230769,0.00965992421460531,0.00965992421460531
Willa Brown,816,55,106,66,2010-10-30T08:09:54Z,2019-01-19T03:22:20Z,72067.20722222220,3002.80030092593,0.27579256360078300,-21.65,0.011029411764705900,9,1,1,1.0,8,0.07547169811320750,12.3636363636364,0.271746342821526,7.69811320754717,1.60606060606061,0.0353003827684826,0.0353003827684826
Plough,6201,922,1654,1249,2002-02-25T15:43:11Z,2019-02-28T21:39:26Z,149093.9375,6212.2474,0.3899420371295370,45.53,0.0024189646831156300,15,10,14,0.7142857142857140,263,0.15900846432890000,4.96477181745396,0.998189480373741,3.7490931076179,1.32425940752602,0.266248250369,0.266248250369
The Man Who Laughs,1398,265,384,302,2005-02-12T03:43:22Z,2019-02-23T20:41:06Z,122992.96222222200,5124.70675925925,0.40136331330361200,39.71,0.002145922746781120,3,1,2,0.5,16,0.041666666666666700,4.62913907284768,0.272796096571597,3.640625,1.27152317880795,0.0749311166548591,0.0749311166548591
Domestication of animals,6057,53,148,93,2005-06-26T13:05:35Z,2019-02-22T05:15:12Z,119728.16027777800,4988.67334490742,0.3726012996277840,-4.87,0.012877662209014400,78,13,31,0.41935483870967700,10,0.06756756756756760,65.1290322580645,1.2141504526816,40.9256756756757,1.59139784946237,0.0296672060420798,0.0296672060420798
RAF Church Lawford,662,19,32,29,2012-03-21T15:12:19Z,2018-10-11T19:39:39Z,57484.455555555600,2395.185648148150,0.33238095238095200,-80.08,0.012084592145015100,8,0,8,0.0,0,0.0,22.8275862068966,0.276387761638363,20.6875,1.10344827586207,0.0133601334930931,0.0133601334930931
Turner W. Bell,248,11,15,11,2014-09-05T06:54:46Z,2019-01-03T08:49:48Z,37945.91722222220,1581.07988425926,0.30092592592592600,-57.78,0.004032258064516130,1,0,0,1,0,0.0,22.5454545454545,0.156854819588188,16.5333333333333,1.36363636363636,0.00948718666864043,0.00948718666864043
Anna Apostolaki,1091,9,34,17,2018-07-04T16:00:56Z,2019-01-13T14:12:31Z,4630.1930555555600,192.9247106481480,0.20212264150943400,-58.09,0.005499541704857930,6,5,6,0.8333333333333330,0,0.0,64.1764705882353,5.65505577971161,32.0882352941176,2,0.176234552254991,0.176234552254991
Cercle Funambulesque,3227,10,50,40,2013-04-16T02:32:43Z,2018-08-07T01:59:23Z,46535.444444444400,1938.976851851850,0.43624831122839100,-54.9,0.0009296560272699100,3,0,0,1,0,0.0,80.675,1.66427979628432,64.54,1.25,0.0257867957279875,0.0257867957279875
"All Saints Church, Highbrook",1270,21,73,40,2010-10-23T10:51:46Z,2018-11-08T11:55:49Z,70513.0675,2938.0445,0.3541774891774890,-152.15,0.009448818897637800,12,8,9,0.8888888888888890,0,0.0,31.75,0.432260304091862,17.3972602739726,1.825,0.0248464584241779,0.0248464584241779
Mansel Carter,688,5,21,8,2017-12-18T22:37:55Z,2018-09-22T13:29:36Z,6662.8613888888900,277.6192245370370,0.3120772456709960,36.93,0.0,0,0,0,1,0,0.0,86,2.47821454421005,32.7619047619048,2.625,0.0756431764947834,0.0756431764947834
Grain elevator,4324,317,569,414,2003-06-29T22:50:51Z,2019-02-27T01:51:01Z,137307.0027777780,5721.1251157408,0.33407338418674900,-10.86,0.007631822386679000,33,23,32,0.71875,44,0.0773286467486819,10.4444444444444,0.755795392081745,7.59929701230228,1.3743961352657,0.0994559616314785,0.0994559616314785
Serxhio Mukja,337,4,9,6,2016-06-13T21:22:12Z,2018-07-05T04:23:00Z,18031.013333333300,751.292222222221,0.3191666666666670,-333.88,0.002967359050445100,1,0,1,0.0,0,0.0,56.1666666666667,0.448560480239233,37.4444444444444,1.5,0.011979360006389,0.011979360006389
Celebrity Big Brother (UK series 12),6665,199,976,473,2013-01-20T17:58:34Z,2019-01-16T09:30:12Z,52479.52722222220,2186.64696759259,0.291651198146831,3.97,0.009602400600150040,64,27,64,0.421875,121,0.12397540983606600,14.0909090909091,3.04804575168249,6.82889344262295,2.06342494714588,0.446345484417421,0.446345484417421
Daria,3376,948,1886,1314,2002-08-21T17:43:32Z,2019-03-08T00:41:34Z,145014.9672222220,6042.2903009259,0.3963668784011920,-19.62,0.012144549763033200,41,14,40,0.35,104,0.05514316012725350,2.56925418569254,0.558728533695685,1.79003181336161,1.43531202435312,0.312133298148715,0.312133298148715
Aron K. Barbey,805,50,555,125,2014-07-06T13:19:58Z,2019-01-25T17:30:29Z,39940.17527777780,1664.17396990741,0.3119180527075260,-131.05,0.02732919254658390,22,8,13,0.6153846153846150,2,0.0036036036036036000,6.44,0.48372346554897,1.45045045045045,4.44,0.333498786807054,0.333498786807054
Kin Tiel,609,4,23,9,2017-10-22T20:11:44Z,2018-02-17T10:01:45Z,2821.833611111110,117.576400462963,0.28850178166504700,7.83,0.011494252873563200,7,4,6,0.6666666666666670,0,0.0,67.6666666666667,5.17961085389612,26.4782608695652,2.55555555555556,0.195617487092957,0.195617487092957
Saffron,4950,1296,3231,2047,2002-05-25T02:25:34Z,2019-02-20T16:48:07Z,146774.37583333300,6115.59899305554,0.420924998337316,-12.96,0.00808080808080808,40,19,35,0.5428571428571430,357,0.11049210770659200,2.41817293600391,0.809405588172293,1.53203342618384,1.57840742550073,0.528321102097915,0.528321102097915
Turnagain Arm,1301,28,87,34,2004-07-06T17:51:24Z,2019-02-27T15:23:36Z,128373.53666666700,5348.89736111113,0.37063813025210100,37.47,0.004611837048424290,6,6,6,1.0,0,0.0,38.2647058823529,0.243227699499125,14.9540229885057,2.55882352941176,0.0162650344784196,0.0162650344784196
Agriculture in the United Kingdom,11002,185,625,353,2008-11-17T23:51:02Z,2019-01-02T00:55:07Z,88729.06805555560,3697.04450231482,0.38960069655163100,-28.68,0.002272314124704600,25,7,13,0.5384615384615380,53,0.0848,31.1671388101983,2.97589060480915,17.6032,1.77053824362606,0.169053956372089,0.169053956372089
Arkansas Twister,742,47,79,62,2006-08-08T06:04:23Z,2019-02-12T21:54:31Z,109719.83555555600,4571.65981481483,0.5302380952380950,-20.74,0.009433962264150940,7,5,6,0.8333333333333330,2,0.02531645569620250,11.9677419354839,0.162304289920149,9.39240506329114,1.2741935483871,0.0172803758809862,0.0172803758809862
Game of Thrones (season 4),8780,569,1581,1236,2013-03-04T20:39:51Z,2019-01-22T13:55:50Z,51593.266388888900,2149.719432870370,0.4093497252223680,-10.45,0.01070615034168570,94,76,92,0.8260869565217390,233,0.1473750790638840,7.10355987055016,4.0842539104169,5.55344718532574,1.27912621359223,0.735444810064819,0.735444810064819
Aestheticization of violence,3499,206,387,264,2005-05-26T04:22:24Z,2018-10-20T18:20:44Z,117493.97222222200,4895.58217592592,0.4378205168190760,1.98,0.0054301228922549300,19,12,19,0.631578947368421,9,0.023255813953488400,13.2537878787879,0.714726027316296,9.04134366925065,1.46590909090909,0.0790508638386415,0.0790508638386415
David Bianculli,1101,28,105,41,2013-05-30T06:34:07Z,2018-07-31T13:39:11Z,45319.084444444400,1888.295185185180,0.5134963263686670,-5.34,0.0,0,0,0,1,2,0.01904761904761910,26.8536585365854,0.583065618467924,10.4857142857143,2.5609756097561,0.0556057129329083,0.0556057129329083
Destruction of Albanian heritage in Kosovo,5154,22,95,45,2017-09-22T21:32:02Z,2018-12-06T10:15:54Z,10548.73111111110,439.53046296296,0.3283816093572180,-21.51,0.0031043849437330200,16,12,15,0.8,5,0.05263157894736840,114.533333333333,11.7261496854071,54.2526315789474,2.11111111111111,0.216139740029817,0.216139740029817
Elidion Mara,682,5,20,15,2016-02-24T23:29:17Z,2018-02-20T23:08:29Z,17447.653333333300,726.985555555554,0.2891248391248390,-63.17,0.0,0,0,0,1,0,0.0,45.4666666666667,0.938120427274272,34.1,1.33333333333333,0.02751086296992,0.02751086296992
Behn Meyer,3808,9,28,12,2018-07-16T14:28:14Z,2019-02-17T10:00:14Z,5179.533333333330,215.813888888889,0.36451061133987900,23.5,0.0010504201680672300,4,2,4,0.5,0,0.0,317.333333333333,17.6448328678259,136,2.33333333333333,0.129741418145779,0.129741418145779
Anti-Oriental riots (Vancouver),1329,43,102,50,2013-09-27T15:04:23Z,2019-01-07T17:08:18Z,46274.06527777780,1928.08605324074,0.18219496552829900,-4.66,0.012039127163280700,16,2,5,0.4,4,0.0392156862745098,26.58,0.689284587566104,13.0294117647059,2.04,0.0529022031089109,0.0529022031089109
9th Louisiana Regiment Infantry (African Descent),8,1,1,1,2018-08-20T03:28:03Z,2018-08-20T03:28:03Z,0.0,0.0,0.0,61.33,0.0,0,0,0,1,0,0.0,8,0,8,1,0,0
History of Chinese animation,2089,55,104,72,2006-12-23T15:27:54Z,2019-02-09T20:06:10Z,106348.63777777800,4431.19324074075,0.3356263804222990,5.5,0.00430828147438966,9,4,4,1.0,4,0.038461538461538500,29.0138888888889,0.471430580096026,20.0865384615385,1.44444444444444,0.0234699762230669,0.0234699762230669
Alfred P. Murrah Federal Building,1372,269,425,331,2003-10-21T21:34:12Z,2019-02-20T19:23:35Z,134421.82305555600,5600.90929398150,0.27535353535353500,-13.97,0.007288629737609330,10,7,7,1.0,28,0.06588235294117650,4.14501510574018,0.244960224846757,3.22823529411765,1.28398791540785,0.0758805361223555,0.0758805361223555
Jerauld R. Gentry,1863,30,69,51,2009-07-28T04:23:37Z,2019-01-05T18:13:05Z,82765.82444444440,3448.57601851852,0.3388461878257800,-21.92,0.00322061191626409,6,0,2,0.0,1,0.014492753623188400,36.5294117647059,0.540222976090963,27,1.35294117647059,0.0200082583737394,0.0200082583737394
Air-wedge shearing interferometer,666,18,46,29,2011-01-06T20:50:34Z,2014-09-23T14:58:32Z,32538.132777777800,1355.755532407410,0.5290683229813670,28.67,0.0,0,0,0,1,1,0.021739130434782600,22.9655172413793,0.491239005912361,14.4782608695652,1.58620689655172,0.0339294208287817,0.0339294208287817
1963 Togolese coup d'état,2391,23,98,52,2012-12-28T15:55:46Z,2019-01-13T16:39:42Z,52968.73222222220,2207.03050925926,0.30467135119309000,6.28,0.013383521539105000,32,5,5,1.0,1,0.01020408163265310,45.9807692307692,1.08335611581667,24.3979591836735,1.88461538461538,0.0444035547260701,0.0444035547260701
Adinkra symbols,1423,183,319,233,2005-10-05T18:32:05Z,2019-02-10T19:49:06Z,117025.28361111100,4876.05348379629,0.34762930052403700,13.96,0.004216444132115250,6,2,4,0.5,31,0.09717868338557990,6.10729613733906,0.291834370711642,4.46081504702194,1.36909871244635,0.0654217598432985,0.0654217598432985
Battle of Adwa,5002,497,1034,732,2002-01-17T08:04:16Z,2019-03-09T01:45:44Z,150233.6911111110,6259.7371296296,0.29502221459551900,13.89,0.004198320671731310,21,2,10,0.2,64,0.061895551257253400,6.83333333333333,0.799075088364925,4.83752417794971,1.41256830601093,0.165182655211782,0.165182655211782
Airborne Edge,909,8,17,11,2012-01-12T21:55:56Z,2017-07-12T19:52:33Z,48189.94361111110,2007.91431712963,0.33564168470418500,19.47,0.0011001100110011,1,0,0,1,0,0.0,82.6363636363636,0.452708560442679,53.4705882352941,1.54545454545455,0.0084664967299511,0.0084664967299511
Agriculture in Canada,6991,375,721,509,2006-05-13T22:09:20Z,2019-02-08T10:51:00Z,111684.69444444400,4653.52893518517,0.3260181735608560,-40.5,0.004434272636246600,31,10,20,0.5,98,0.13592233009708700,13.7347740667976,1.50230074796383,9.69625520110957,1.41650294695481,0.154936180701176,0.154936180701176
Airborne XT,807,9,21,14,2012-01-15T15:25:13Z,2017-07-12T19:54:08Z,48124.481944444400,2005.186747685180,0.3633184523809520,-3.48,0.0012391573729863700,1,0,0,1,0,0.0,57.6428571428571,0.4024562804096,38.4285714285714,1.5,0.0104728400106587,0.0104728400106587
Aichi D1A,833,82,163,115,2005-04-24T22:02:08Z,2019-01-14T16:19:16Z,120306.28555555600,5012.76189814817,0.351363175831261,-5.98,0.004801920768307320,4,1,3,0.3333333333333330,3,0.018404907975460100,7.24347826086957,0.166175856129877,5.11042944785276,1.41739130434783,0.0325170042607082,0.0325170042607082
2008 Ghanaian general election,1471,76,159,119,2007-12-01T13:54:25Z,2018-12-07T07:24:24Z,96569.49972222220,4023.72915509259,0.27432142403051500,-117.84,0.010197144799456200,15,3,14,0.21428571428571400,3,0.018867924528301900,12.3613445378151,0.365581266357912,9.25157232704403,1.33613445378151,0.0395155821556139,0.0395155821556139
La Trochita,1389,77,150,120,2006-08-05T15:18:12Z,2018-05-05T20:02:37Z,102988.74027777800,4291.19751157408,0.35465194585029300,-5.78,0.0,0,0,0,1,2,0.013333333333333300,11.575,0.323685870028968,9.26,1.25,0.0349552775409253,0.0349552775409253
Angolan kwanza,1472,272,451,357,2004-07-06T09:04:32Z,2019-03-04T16:52:00Z,128503.79111111100,5354.32462962963,0.38459797345511600,-8.05,0.001358695652173910,2,1,1,1.0,55,0.12195121951219500,4.12324929971989,0.274917959186539,3.26385809312639,1.26330532212885,0.0842309779844627,0.0842309779844627
Abyei,3783,233,518,358,2007-10-24T03:08:52Z,2018-12-30T17:17:47Z,98054.14861111110,4085.58952546296,0.3574384769581810,-51.36,0.008194554586307160,31,19,30,0.6333333333333330,31,0.059845559845559800,10.5670391061453,0.925937365078624,7.3030888030888,1.44692737430168,0.126787088318987,0.126787088318987
2012 Benghazi attack,15180,596,2801,1538,2012-09-14T21:49:36Z,2019-02-20T23:47:08Z,56401.95888888890,2350.08162037037,0.36413238316737200,-37.62,0.015546772068511200,236,163,231,0.7056277056277060,202,0.07211710103534450,9.86996098829649,6.4593501214684,5.41949303820064,1.82119635890767,1.1918734973803,1.1918734973803
Architectural development of the eastern end of cathedrals in England and France,1180,32,44,39,2006-06-08T12:04:03Z,2019-01-19T05:56:17Z,110585.87055555600,4607.74460648150,0.3750026332143120,8.58,0.0,0,0,0,1,0,0.0,30.2564102564103,0.25609058243813,26.8181818181818,1.12820512820513,0.00954914036209977,0.00954914036209977
Soapy Smith,3863,426,1033,693,2006-02-15T12:53:18Z,2019-02-01T15:46:32Z,113618.88722222200,4734.12030092592,0.42459721260915800,25.23,0.0012943308309603900,5,2,4,0.5,107,0.10358180058083300,5.57431457431457,0.815991093264879,3.73959341723136,1.49062049062049,0.218203157997054,0.218203157997054
Applecrest Farm Orchards,947,43,77,59,2006-08-03T17:13:00Z,2017-07-11T17:19:30Z,95880.10833333330,3995.00451388889,0.3458632543926660,-9.57,0.0031678986272439300,3,1,1,1.0,2,0.025974025974026000,16.0508474576271,0.237046040050191,12.2987012987013,1.30508474576271,0.0192740708382943,0.0192740708382943
André Fontaine (painter),1345,28,64,44,2012-08-13T19:44:02Z,2019-01-17T08:23:46Z,56340.66222222220,2347.52759259259,0.38151790633608800,26.51,0.008921933085501860,12,12,12,1.0,0,0.0,30.5681818181818,0.572943212358409,21.015625,1.45454545454545,0.0272627253464224,0.0272627253464224
Ancient Greek architecture,6629,1374,2859,2061,2002-02-25T15:51:15Z,2019-03-05T17:14:20Z,149209.38472222200,6217.05769675925,0.3514866560269000,12.27,0.0001508523155830440,1,1,1,1.0,680,0.2378454004896820,3.21639980591946,1.06626000969164,2.31864288212662,1.38719068413392,0.459863835828692,0.459863835828692
Uerdi Mara,498,8,8,8,2016-05-27T00:56:34Z,2018-06-15T00:24:20Z,17975.46277777780,748.97761574074,0.24924242424242400,-133.38,0.0,0,0,0,1,0,0.0,62.25,0.664906386431156,62.25,1,0.0106812270912636,0.0106812270912636
James Catanach,1695,20,82,32,2015-08-24T11:33:45Z,2018-04-16T09:48:34Z,23182.246944444400,965.926956018517,0.30103097086568200,-21.38,0.015339233038348100,26,14,20,0.7,0,0.0,52.96875,1.75479107342306,20.6707317073171,2.5625,0.0848925475048323,0.0848925475048323
William Benson Craig,584,13,26,14,2011-12-03T21:32:34Z,2018-01-03T17:10:11Z,53347.62694444450,2222.81778935185,0.21132897603485800,-14.37,0.003424657534246580,2,0,1,0.0,0,0.0,41.7142857142857,0.262729587102274,22.4615384615385,1.85714285714286,0.0116968651792108,0.0116968651792108
Black flight,2079,182,442,249,2007-05-07T10:44:26Z,2018-12-31T04:32:00Z,102137.79277777800,4255.74136574075,0.3224804248574740,17.61,0.002886002886002890,6,5,6,0.8333333333333330,11,0.024886877828054300,8.34939759036145,0.48851652892636,4.70361990950226,1.77510040160643,0.103859694942497,0.103859694942497
Ron Dellums,5540,525,1480,958,2004-03-25T17:24:46Z,2019-02-21T00:48:05Z,130687.3886111110,5445.3078587963,0.308163918597742,-28.39,0.008303249097472920,46,26,44,0.5909090909090910,61,0.04121621621621620,5.78288100208768,1.01738967633405,3.74324324324324,1.54488517745303,0.271793631944836,0.271793631944836
Joseph Austin Benwell,2485,26,186,91,2012-02-27T03:13:27Z,2018-04-28T21:41:12Z,54066.4625,2252.7693,0.2843646971130410,-17.49,0.0,0,0,0,1,1,0.005376344086021510,27.3076923076923,1.10308677953547,13.3602150537634,2.04395604395604,0.0825650466775038,0.0825650466775038
Cape Air Force Base,7,1,1,1,2018-05-25T05:56:16Z,2018-05-25T05:56:16Z,0.0,0.0,1.0,104.64,0.0,0,0,0,1,0,0.0,7,0,7,1,0,0
RAF Catfoss,775,21,45,33,2008-12-09T22:00:22Z,2019-03-04T12:10:27Z,89678.16805555560,3736.59033564815,0.3770858585858590,8.07,0.003870967741935480,3,0,2,0.0,0,0.0,23.4848484848485,0.20740834032735,17.2222222222222,1.36363636363636,0.0120430649222332,0.0120430649222332
Olaf Swenson,5883,45,462,196,2009-05-05T18:15:21Z,2018-08-22T23:43:53Z,81509.47555555560,3396.22814814815,0.3059031638218240,30.43,0.0005099439061703210,3,0,0,1,3,0.006493506493506490,30.015306122449,1.73221578273762,12.7337662337662,2.35714285714286,0.136033263917182,0.136033263917182
Aichi F1A,833,15,21,19,2010-06-05T19:39:50Z,2017-10-16T11:17:34Z,64551.62888888890,2689.65120370370,0.35969887955182100,-7.64,0.0,0,0,0,1,1,0.047619047619047600,43.8421052631579,0.309705585189984,39.6666666666667,1.10526315789474,0.00780770382831893,0.00780770382831893
Jasmine Guy,2710,510,821,614,2004-10-20T21:03:46Z,2019-02-13T21:57:55Z,125496.9025,5229.0376,0.38862132912132900,-1.08,0.005535055350553510,15,4,7,0.5714285714285710,36,0.0438489646772229,4.41368078175896,0.518259803264865,3.30085261875761,1.3371335504886,0.15700785921788,0.15700785921788
Claire Lee Chennault,5705,392,874,573,2002-10-27T18:42:08Z,2019-03-08T05:18:48Z,143410.61111111100,5975.44212962963,0.2838186399521800,17.54,0.0014022787028922000,8,4,5,0.8,28,0.032036613272311200,9.95636998254799,0.954741067897114,6.52745995423341,1.52530541012216,0.146265327492038,0.146265327492038
The Masque of the Red Death,2502,708,1212,984,2002-10-30T15:05:46Z,2019-03-01T02:18:25Z,143171.21083333300,5965.46711805554,0.3456473414068350,35.65,0.006794564348521180,17,3,5,0.6,188,0.1551155115511550,2.54268292682927,0.41941392861378,2.06435643564356,1.23170731707317,0.203169337122263,0.203169337122263
4th Arkansas Field Battery,2670,32,90,55,2012-12-10T04:20:40Z,2018-07-24T05:20:12Z,49248.99222222220,2052.04134259259,0.33408955627705600,22.89,0.000749063670411985,2,0,2,0.0,2,0.022222222222222200,48.5454545454545,1.30114337590619,29.6666666666667,1.63636363636364,0.043858765479984,0.043858765479984
Dreadlocks,2566,1865,3749,2561,2003-02-20T00:34:11Z,2019-03-03T23:29:02Z,140542.91416666700,5855.95475694446,0.3705814742974280,3.3,0.012081060015588500,31,7,16,0.4375,421,0.11229661242998100,1.00195236235845,0.438186445507802,0.68444918644972,1.46388129636861,0.640203033596552,0.640203033596552
Pigeon keeping,2140,144,307,210,2006-03-09T08:14:52Z,2019-02-25T19:09:49Z,113674.91583333300,4736.45482638888,0.38641200037541500,-34.57,0.007476635514018690,16,5,9,0.5555555555555560,21,0.06840390879478830,10.1904761904762,0.451814717640104,6.97068403908795,1.46190476190476,0.0648164104278093,0.0648164104278093
RAF Wye,821,18,34,22,2011-02-15T20:15:07Z,2018-04-05T22:25:16Z,62546.16916666670,2606.09038194445,0.22886904761904800,-139.45,0.0048721071863581,4,0,0,1,0,0.0,37.3181818181818,0.315031284290086,24.1470588235294,1.54545454545455,0.0130463625649975,0.0130463625649975
